Rk,Player,Pos,Age,Tm,G,MP,PE_PG%,PE_SG%,PE_SF%,PE_PF%,PE_C%,+/-_OnCourt,+/-_On-Off,TO_BadPass,TO_LostBall,Shoot_Fl_Com,Off._Fl_Com,Shoot_Fl_Drn,Off._Fl_Drn,PGA,And1,Blkd
235,Solomon Hill\hillso01,PF,30,ATL,13,139,,,49%,51%,,16.0,16.6,0,0,6,1,0,0,32,0,1
236,Nate Hinton\hintona01,SG,22,IND,2,2,,100%,,,,93.3,96.5,1,0,0,0,0,0,0,0,0
237,Jaylen Hoard\hoardja01,SF,22,OKC,1,2,,,,100%,,-100.0,-92.8,0,0,0,0,0,0,0,0,0
238,Aaron Holiday\holidaa01,PG,25,TOT,42,672,100%,,,,,-6.2,-4.3,20,12,30,2,15,7,187,3,10
238,Aaron Holiday\holidaa01,PG,25,WAS,41,663,100%,,,,,-6.6,-4.6,19,12,28,2,15,7,187,3,10
238,Aaron Holiday\holidaa01,PG,25,PHO,1,9,100%,,,,,23.8,15.2,1,0,2,0,0,0,0,0,0
239,Jrue Holiday\holidjr01,PG,31,MIL,44,1442,99%,1%,,,,10.8,15.3,67,34,41,6,44,4,709,6,37
240,Justin Holiday\holidju01,SF-SG,32,TOT,51,1476,,12%,75%,12%,1%,-3.0,-0.3,36,17,55,1,15,9,222,2,11
240,Justin Holiday\holidju01,SF,32,IND,49,1416,,10%,77%,12%,1%,-3.5,-0.9,32,16,54,1,14,9,207,2,10
240,Justin Holiday\holidju01,SG,32,SAC,2,60,,63%,26%,11%,,9.5,14.2,4,1,1,0,1,0,15,0,1
241,Richaun Holmes\holmeri01,C,28,SAC,39,980,,,,,100%,-5.2,-1.1,16,17,67,12,43,4,114,16,19
242,Rodney Hood\hoodro01,SF,29,MIL,39,581,1%,11%,41%,46%,2%,-1.3,-6.2,5,1,17,0,5,2,77,1,0
243,Scotty Hopson\hopsosc01,SG,32,OKC,1,18,,21%,79%,,,-14.2,-7.0,1,0,0,1,0,0,2,0,0
244,Al Horford\horfoal01,C,35,BOS,49,1388,,,,2%,99%,5.5,0.9,28,9,49,7,34,0,385,7,11
245,Talen Horton-Tucker\hortota01,SG,21,LAL,41,1057,,13%,80%,7%,,-0.3,1.8,34,16,52,8,36,6,260,7,21
246,Danuel House Jr.\houseda01,SF,28,TOT,24,371,,2%,40%,57%,1%,-7.9,-4.5,15,5,13,0,12,2,77,2,7
246,Danuel House Jr.\houseda01,SF,28,HOU,16,233,,,11%,88%,1%,-7.3,2.5,11,5,10,0,5,1,48,1,5
246,Danuel House Jr.\houseda01,SF,28,NYK,1,3,,,100%,,,14.3,15.4,0,0,0,0,0,0,0,0,0
246,Danuel House Jr.\houseda01,SF,28,UTA,7,135,,6%,88%,6%,,-9.4,-16.9,4,0,3,0,7,1,29,1,2
247,Dwight Howard\howardw01,C,36,LAL,41,594,,,,,100%,-1.2,0.3,4,9,46,15,41,1,53,6,15
248,Markus Howard\howarma02,SG,22,DEN,22,134,4%,65%,31%,,,4.3,2.5,4,0,5,1,2,4,15,0,6
249,Kevin Huerter\huertke01,SG,23,ATL,49,1424,1%,89%,10%,,,3.8,7.7,37,16,47,3,15,4,326,4,13
250,Jay Huff\huffja01,C,23,LAL,4,20,,,,,100%,31.5,33.2,0,1,1,0,0,1,3,0,0
251,Elijah Hughes\hugheel01,SF-SG,23,TOT,15,123,,38%,52%,10%,,-26.9,-34.1,2,4,5,1,1,1,15,0,0
251,Elijah Hughes\hugheel01,SF,23,UTA,14,112,,32%,57%,11%,,-30.8,-39.1,2,4,3,1,1,1,15,0,0
