Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
218,Tobias Harris\harrito02,PF,29,PHI,47,47,35.4,7.4,15.1,.487,1.2,3.4,.354,6.1,11.7,.526,.527,3.0,3.5,.848,1.1,6.2,7.4,3.7,0.6,0.7,1.8,2.1,18.9
219,Shaquille Harrison\harrish01,SG,28,BRK,2,0,11.5,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,.333,0.0,0.0,,0.5,1.5,2.0,1.5,0.5,0.5,1.0,1.5,2.0
220,Josh Hart\hartjo01,PF-SG,26,TOT,42,41,33.6,4.8,9.5,.508,1.1,3.2,.331,3.7,6.2,.599,.564,2.9,3.9,.753,1.3,6.3,7.6,4.0,1.1,0.3,2.0,2.9,13.6
220,Josh Hart\hartjo01,PF,26,NOP,41,40,33.5,4.8,9.4,.505,1.0,3.2,.323,3.7,6.2,.598,.560,2.8,3.8,.753,1.3,6.5,7.8,4.1,1.1,0.3,2.0,2.9,13.4
220,Josh Hart\hartjo01,SG,26,POR,1,1,37.0,7.0,12.0,.583,3.0,6.0,.500,4.0,6.0,.667,.708,6.0,8.0,.750,0.0,1.0,1.0,2.0,0.0,0.0,4.0,4.0,23.0
221,Isaiah Hartenstein\harteis01,C,23,LAC,44,0,15.8,3.1,5.0,.619,0.1,0.1,.500,3.0,4.8,.623,.626,1.1,1.6,.681,1.5,2.8,4.3,1.8,0.7,1.1,1.1,2.4,7.3
222,Udonis Haslem\hasleud01,C,41,MIA,9,0,6.3,1.2,2.4,.500,0.1,0.2,.500,1.1,2.2,.500,.523,0.3,0.3,1.000,0.4,1.6,2.0,0.3,0.1,0.1,0.3,1.2,2.9
223,Sam Hauser\hausesa01,SF,24,BOS,10,0,4.1,0.4,1.4,.286,0.4,1.4,.286,0.0,0.0,,.429,0.0,0.0,,0.1,0.5,0.6,0.1,0.1,0.1,0.0,0.4,1.2
224,Jaxson Hayes\hayesja02,C,21,NOP,44,4,16.5,3.1,4.9,.630,0.2,0.6,.269,2.9,4.3,.679,.646,1.9,2.4,.776,1.3,2.5,3.9,0.5,0.4,0.7,0.8,2.3,8.2
225,Killian Hayes\hayeski01,PG,20,DET,44,33,24.8,2.4,6.5,.368,0.7,2.5,.277,1.7,3.9,.428,.423,0.9,1.1,.816,0.5,2.5,3.0,4.1,1.0,0.5,1.7,2.7,6.4
226,Gordon Hayward\haywago01,SF,31,CHO,48,48,32.2,5.9,12.7,.460,1.8,4.5,.390,4.1,8.2,.499,.529,2.6,3.1,.846,0.8,3.8,4.6,3.6,1.0,0.5,1.7,1.8,16.1
227,Aaron Henry\henryaa01,SF,22,PHI,6,0,2.8,0.2,0.8,.200,0.0,0.2,.000,0.2,0.7,.250,.200,0.0,0.0,,0.0,0.2,0.2,0.0,0.0,0.3,0.3,0.3,0.3
228,Juancho Hernangómez\hernaju01,PF,26,TOT,24,0,6.2,0.3,1.4,.212,0.1,0.9,.143,0.2,0.5,.333,.258,0.4,0.5,.692,0.5,1.1,1.7,0.3,0.2,0.1,0.3,0.3,1.1
228,Juancho Hernangómez\hernaju01,PF,26,BOS,18,0,5.3,0.3,1.5,.185,0.2,1.0,.167,0.1,0.5,.222,.241,0.3,0.5,.667,0.5,0.9,1.4,0.2,0.2,0.1,0.3,0.4,1.1
228,Juancho Hernangómez\hernaju01,PF,26,SAS,5,0,10.2,0.4,1.2,.333,0.0,0.6,.000,0.4,0.6,.667,.333,0.6,0.8,.750,0.8,2.2,3.0,0.6,0.2,0.2,0.4,0.0,1.4
228,Juancho Hernangómez\hernaju01,PF,26,UTA,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,Willy Hernangómez\hernawi01,C,27,NOP,29,6,16.6,3.4,6.4,.529,0.1,0.2,.429,3.3,6.2,.533,.537,2.1,2.8,.741,2.8,4.3,7.1,1.3,0.3,0.3,1.0,1.9,9.0
230,Tyler Herro\herroty01,SG,22,MIA,46,10,32.7,7.4,17.3,.427,2.5,6.7,.374,4.9,10.6,.461,.500,2.7,3.1,.879,0.6,4.2,4.8,3.9,0.6,0.2,2.8,1.5,20.0
231,Buddy Hield\hieldbu01,SG,29,TOT,57,8,29.0,4.9,12.8,.380,3.3,9.1,.361,1.6,3.7,.427,.508,1.4,1.6,.860,0.8,3.4,4.2,2.0,0.9,0.3,1.6,2.1,14.4
231,Buddy Hield\hieldbu01,SG,29,SAC,55,6,28.6,4.8,12.6,.382,3.3,9.0,.368,1.5,3.6,.419,.514,1.5,1.7,.870,0.8,3.2,4.0,1.9,0.9,0.3,1.6,2.1,14.4
231,Buddy Hield\hieldbu01,SG,29,IND,2,2,40.0,6.0,18.0,.333,2.5,11.5,.217,3.5,6.5,.538,.403,0.0,0.5,.000,1.5,7.0,8.5,4.5,0.5,0.5,1.5,3.5,14.5
232,Haywood Highsmith\highsha01,SF,25,MIA,4,0,10.5,1.0,2.0,.500,1.0,1.8,.571,0.0,0.3,.000,.750,0.0,0.0,,0.5,0.8,1.3,0.0,0.0,0.3,0.0,0.8,3.0
233,George Hill\hillge01,SG,35,MIL,41,16,25.5,2.5,5.7,.436,0.9,2.9,.316,1.6,2.9,.556,.515,1.2,1.2,.960,0.9,2.4,3.2,2.5,0.8,0.1,0.9,1.4,7.0
234,Malcolm Hill\hillma01,SF-SG,26,TOT,16,0,12.3,1.4,3.0,.479,0.8,2.1,.394,0.6,0.9,.667,.615,0.7,0.9,.786,0.7,1.3,2.0,0.3,0.4,0.2,0.1,1.3,4.4
234,Malcolm Hill\hillma01,SG,26,ATL,3,0,15.3,1.7,2.7,.625,1.0,1.7,.600,0.7,1.0,.667,.813,1.3,1.3,1.000,0.7,1.3,2.0,0.3,1.3,0.3,0.0,2.3,5.7
234,Malcolm Hill\hillma01,SF,26,CHI,13,0,11.5,1.4,3.1,.450,0.8,2.2,.357,0.6,0.9,.667,.575,0.5,0.8,.700,0.7,1.3,2.0,0.2,0.2,0.2,0.2,1.1,4.1
235,Solomon Hill\hillso01,PF,30,ATL,13,1,10.7,0.2,1.5,.150,0.2,1.0,.154,0.1,0.5,.143,.200,0.0,0.0,,0.5,1.3,1.8,0.9,0.3,0.2,0.1,1.2,0.6
236,Nate Hinton\hintona01,SG,22,IND,2,0,1.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
237,Jaylen Hoard\hoardja01,SF,22,OKC,1,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
238,Aaron Holiday\holidaa01,PG,25,TOT,42,14,16.0,2.5,5.2,.475,0.6,1.7,.357,1.9,3.5,.530,.532,0.7,0.8,.800,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.2
238,Aaron Holiday\holidaa01,PG,25,WAS,41,14,16.2,2.4,5.2,.467,0.6,1.6,.343,1.9,3.6,.524,.521,0.7,0.9,.800,0.2,1.4,1.6,1.9,0.6,0.2,1.0,1.5,6.1
238,Aaron Holiday\holidaa01,PG,25,PHO,1,0,9.0,4.0,5.0,.800,2.0,3.0,.667,2.0,2.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0
239,Jrue Holiday\holidjr01,PG,31,MIL,44,41,32.8,7.2,14.2,.505,1.8,4.5,.402,5.3,9.7,.553,.569,1.8,2.4,.769,1.0,3.7,4.7,6.6,1.5,0.5,2.7,1.9,18.0
240,Justin Holiday\holidju01,SF-SG,32,TOT,51,42,28.9,3.8,9.4,.411,2.6,6.8,.376,1.3,2.5,.504,.548,0.7,0.8,.837,0.4,2.3,2.7,1.9,0.8,0.4,1.1,2.1,11.0
240,Justin Holiday\holidju01,SF,32,IND,49,40,28.9,3.9,9.3,.415,2.6,6.9,.378,1.3,2.5,.516,.553,0.7,0.8,.829,0.4,2.4,2.8,1.8,0.7,0.4,1.0,2.1,11.0
240,Justin Holiday\holidju01,SG,32,SAC,2,2,30.0,3.0,9.5,.316,2.0,6.0,.333,1.0,3.5,.286,.421,1.0,1.0,1.000,1.0,1.0,2.0,3.0,1.5,0.5,2.5,1.5,9.0
241,Richaun Holmes\holmeri01,C,28,SAC,39,37,25.1,4.8,7.1,.684,0.1,0.1,.400,4.8,6.9,.689,.687,1.7,2.2,.770,2.2,5.4,7.5,1.2,0.4,1.0,1.3,3.0,11.4
242,Rodney Hood\hoodro01,SF,29,MIL,39,0,14.9,1.2,3.4,.351,0.6,2.1,.300,0.6,1.3,.431,.443,0.3,0.4,.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3
243,Scotty Hopson\hopsosc01,SG,32,OKC,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
244,Al Horford\horfoal01,C,35,BOS,49,49,28.3,3.7,8.5,.438,1.2,4.0,.299,2.6,4.6,.558,.507,1.3,1.6,.844,1.6,5.9,7.5,3.3,0.6,1.3,1.0,1.9,10.0
245,Talen Horton-Tucker\hortota01,SG,21,LAL,41,15,25.8,3.6,8.8,.414,0.9,3.0,.282,2.8,5.8,.483,.463,1.5,1.9,.808,0.6,2.7,3.3,2.7,0.9,0.5,1.5,2.5,9.7
246,Danuel House Jr.\houseda01,SF,28,TOT,24,2,15.5,1.8,4.8,.386,0.8,2.5,.339,1.0,2.3,.436,.474,1.1,1.4,.818,0.3,2.2,2.5,1.3,0.4,0.3,0.9,1.0,5.6
246,Danuel House Jr.\houseda01,SF,28,HOU,16,1,14.6,1.6,4.6,.338,0.6,2.1,.294,0.9,2.5,.375,.405,1.1,1.2,.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
246,Danuel House Jr.\houseda01,SF,28,NYK,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,Danuel House Jr.\houseda01,SF,28,UTA,7,1,19.3,2.7,5.6,.487,1.4,3.4,.417,1.3,2.1,.600,.615,1.4,2.0,.714,0.6,2.0,2.6,1.6,0.7,0.4,0.6,1.3,8.3
247,Dwight Howard\howardw01,C,36,LAL,41,11,14.5,1.9,3.0,.621,0.1,0.2,.667,1.7,2.8,.617,.645,1.3,2.1,.612,1.9,3.5,5.4,0.5,0.7,0.6,0.8,2.0,5.2
248,Markus Howard\howarma02,SG,22,DEN,22,0,6.1,1.2,3.3,.370,1.0,2.4,.434,0.2,0.9,.200,.527,0.6,0.6,.929,0.0,0.3,0.3,0.3,0.3,0.0,0.3,0.5,4.1
249,Kevin Huerter\huertke01,SG,23,ATL,49,35,29.1,4.5,9.9,.459,1.9,5.1,.369,2.7,4.8,.553,.554,0.6,0.7,.800,0.4,2.8,3.2,2.8,0.6,0.3,1.3,2.2,11.5
250,Jay Huff\huffja01,C,23,LAL,4,0,5.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.3,0.3,0.3,0.3,0.0
251,Elijah Hughes\hugheel01,SF-SG,23,TOT,15,1,8.2,1.1,2.8,.405,0.7,2.2,.333,0.4,0.6,.667,.536,0.2,0.2,1.000,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.6,3.2
251,Elijah Hughes\hugheel01,SF,23,UTA,14,1,8.0,1.1,2.6,.417,0.7,2.0,.357,0.4,0.6,.625,.556,0.2,0.2,1.000,0.1,1.1,1.2,0.4,0.3,0.1,0.5,0.5,3.1
251,Elijah Hughes\hugheel01,SG,23,POR,1,0,11.0,2.0,6.0,.333,1.0,5.0,.200,1.0,1.0,1.000,.417,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
252,De'Andre Hunter\huntede01,SF,24,ATL,28,27,29.0,4.8,10.8,.442,1.4,3.6,.382,3.4,7.1,.472,.507,1.9,2.8,.701,0.5,3.0,3.5,1.3,0.6,0.4,1.4,3.0,12.8
253,Chandler Hutchison\hutchch01,SF,25,PHO,6,0,3.7,0.2,0.3,.500,0.0,0.0,,0.2,0.3,.500,.500,0.3,0.3,1.000,0.0,0.8,0.8,0.3,0.0,0.0,0.7,0.2,0.7
254,Bones Hyland\hylanbo01,PG,21,DEN,44,2,17.8,3.0,8.0,.370,1.7,4.9,.346,1.3,3.0,.410,.477,1.1,1.3,.891,0.2,2.5,2.7,2.0,0.5,0.3,1.2,2.1,8.7
255,Serge Ibaka\ibakase01,C,32,LAC,35,10,15.4,2.7,5.5,.490,0.7,1.8,.387,2.0,3.7,.538,.552,0.6,0.8,.690,1.1,3.1,4.3,1.0,0.2,0.7,0.9,1.6,6.6
256,Andre Iguodala\iguodan01,SF,38,GSW,26,0,19.9,1.5,3.9,.392,0.5,2.3,.230,1.0,1.6,.634,.461,0.5,0.6,.813,0.7,2.6,3.3,3.8,0.8,0.8,0.9,1.0,4.1
257,Joe Ingles\inglejo01,SF,34,UTA,45,15,24.9,2.6,6.3,.404,1.7,5.0,.347,0.8,1.3,.617,.540,0.4,0.5,.773,0.3,2.6,2.9,3.5,0.5,0.1,1.0,1.8,7.2
