Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
91,Clint Capela\capelca01,C,27,ATL,48,1348,21.0,.581,.003,.291,14.8,32.5,23.7,7.2,1.3,4.3,6.1,15.5,,3.5,1.7,5.2,.184,,1.9,-0.1,1.8,1.3
92,Vernon Carey Jr.\careyve01,C,20,TOT,5,18,16.4,.546,.000,.500,17.0,12.0,14.6,0.0,2.6,0.0,12.0,19.5,,0.0,0.0,0.0,.095,,-2.8,-5.3,-8.2,0.0
92,Vernon Carey Jr.\careyve01,C,20,CHO,4,17,17.4,.546,.000,.500,18.0,12.7,15.4,0.0,2.8,0.0,12.0,20.6,,0.0,0.0,0.0,.101,,-2.6,-5.3,-7.9,0.0
92,Vernon Carey Jr.\careyve01,C,20,WAS,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.012,,-6.4,-6.2,-12.6,0.0
93,Jevon Carter\carteje01,PG,26,BRK,43,505,7.0,.463,.727,.052,1.7,10.6,6.3,10.7,1.3,1.8,11.3,15.2,,-0.3,0.3,0.1,.005,,-3.3,-0.9,-4.3,-0.3
94,Wendell Carter Jr.\cartewe01,C,22,ORL,49,1436,17.8,.588,.344,.299,7.4,29.6,18.5,14.8,1.0,2.1,12.8,20.1,,2.0,1.7,3.7,.123,,0.8,0.3,1.1,1.1
95,Alex Caruso\carusal01,SG,27,CHI,28,775,13.9,.563,.478,.324,3.6,11.8,7.7,18.2,3.4,1.2,16.1,14.1,,0.9,1.0,1.9,.116,,-1.0,2.8,1.8,0.8
96,Willie Cauley-Stein\caulewi01,C,28,DAL,18,177,8.5,.474,.057,.057,8.0,15.7,11.8,7.1,1.7,1.5,16.3,10.8,,0.0,0.3,0.3,.068,,-4.0,0.9,-3.1,0.0
97,Ahmad Caver\caverah01,PG,25,IND,1,1,78.4,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,,0.0,0.0,0.0,1.251,,30.2,6.3,36.6,0.0
98,Justin Champagnie\champju01,SF,20,TOR,30,252,14.7,.594,.367,.150,15.2,12.3,13.8,5.0,1.4,1.6,9.9,12.1,,0.6,0.2,0.8,.152,,-0.7,-1.1,-1.7,0.0
